longitude,latitude,zone
7.40063509,44.35057088,F
7.45613996,44.27013254,F
8.02254642,44.41716489,E
7.51116274,44.29422968,F
7.89020684,44.3049956,F
7.34074709,44.47629522,F
7.95114507,44.44409132,F
7.74569773,44.43017736,E
7.74587877,44.31842604,E
7.44134173,44.34165607,F
7.48125617,44.31440994,F
8.17527183,44.63713321,E
7.97610755,44.67845326,E
8.01873571,44.57410827,F
8.05931571,44.63061299,E
7.43260669,44.54249985,E
7.60244401,44.70724824,E
8.08345546,44.39706458,E
8.07860651,44.39938022,F
8.16679127,44.41327854,E
7.79212298,44.57815425,E
7.49084739,44.64702298,E
7.07781003,44.33734246,F
7.1888735,44.57938316,F
8.05785091,44.48989293,F
7.25630891,44.48841462,F
7.80354961,44.75219136,E
7.32024792,44.64583812,E
7.90824846,44.37652817,E
7.7210529,44.50992775,E
7.93315556,44.696531,E
8.23101616,44.70749115,E
7.93990949,44.78881971,E
7.65747908,44.64801868,E
7.98679354,44.33230692,F
7.56692665,44.68175572,E
8.00061326,44.60922192,E
8.05766192,44.56091813,F
8.02156085,44.59948317,E
8.01140208,44.53589341,E
7.7842658,44.77128582,E
7.90557574,44.74319256,E
7.12591238,44.50564217,F
7.54506036,44.4934162,E
8.1556106,44.56310269,E
7.90035121,44.35204035,E
7.52994094,44.73582111,E
8.03476395,44.43220895,F
8.08684916,44.6893739,E
8.1075833,44.67695385,E
7.7580356,44.50746901,E
7.39613571,44.27764211,F
7.38061464,44.40960891,F
7.37456517,44.33814875,F
7.34621408,44.54428912,F
7.39495176,44.56254284,E
7.93376689,44.66812061,E
7.53370331,44.24556459,F
7.48312762,44.59955425,E
7.99609095,44.76390017,E
7.86498818,44.37495568,E
7.46989353,44.35955809,F
7.53889467,44.54428113,E
7.76209311,44.34445968,E
7.57603223,44.72963767,E
7.38029785,44.48300637,F
7.1743386,44.30709073,F
7.96623533,44.29047791,F
7.57821349,44.56481499,E
7.9715283,45.07801783,E
8.13378727,44.84544206,E
8.00198071,45.09973309,E
8.20414255,44.89912921,E
8.26765893,44.87469786,E
8.09110376,44.90699703,E
8.33010424,44.83048705,E
7.95404954,45.09490798,E
8.44027285,44.79063282,E
8.29360889,44.66384285,E
7.95051282,45.02254621,E
8.33562741,44.73654927,E
8.25732636,45.00626143,E
8.25732636,45.00626143,E
11.09432828,45.9342713,E
11.09432828,45.9342713,E
8.22718552,44.73947663,E
8.09088049,44.98865953,E
8.28820301,44.71987867,E
8.03072454,44.90038386,E
8.0081642,45.00422942,E
8.33413974,45.02281734,E
8.30166091,44.68863849,E
8.1491782,44.75491789,E
8.30609193,44.96144381,E
8.38119567,44.72061965,E
8.20944516,44.98270999,E
8.07474856,44.92400563,E
8.43283445,44.75030841,E
8.31368944,44.87876512,E
8.41226127,44.80181402,E
8.28563618,44.78821506,E
7.96362449,45.04134189,E
8.41596578,44.71879737,E
7.94500108,44.86599664,E
8.12297302,44.85663333,E
8.03676471,45.04976869,E
8.36020871,44.87267038,E
8.24320136,44.64799259,E
8.11780752,44.98505458,E
8.10016648,44.97484379,E
8.0048209,44.82617595,E
8.14514109,44.72821487,E
8.03923935,45.08718184,E
8.14513636,45.00074703,E
8.05757115,44.95969083,E
8.08959339,45.01522505,E
8.06192379,44.97953515,E
8.35856506,44.82301876,E
8.13752723,44.99412244,E
8.18062795,44.78822155,E
8.09721152,45.04043582,E
7.97228137,44.92018688,E
7.99385509,44.87340426,E
8.42218563,44.75337907,E
8.17536565,45.00558693,E
8.29912278,44.99805155,E
8.31355703,45.03891548,E
8.38094573,44.80839835,E
8.17721468,44.82947547,E
8.25852546,44.66896792,E
8.47682029,44.75977053,E
8.03423581,44.94435642,E
8.27793953,44.76255023,E
8.32920396,44.56923733,E
8.44866667,44.77102638,E
8.2944273,44.81697574,E
8.07164087,44.93609673,E
8.32462019,44.64752301,E
8.26346587,45.05139958,E
7.93215605,45.06788298,E
8.21869885,44.84884344,E
8.39030985,44.69860169,E
8.02515243,44.98919545,E
8.2573902,44.82860036,E
8.11238215,45.00821528,E
8.23874286,44.82241214,E
8.3240069,44.9840347,E
8.02486752,45.11523742,E
8.35650287,44.77361901,E
8.24703487,44.58555786,E
8.01879254,45.05639415,E
8.25013241,45.03325898,E
8.07208963,45.02529094,E
7.98625503,45.05819329,E
8.05094462,45.05448578,E
8.25851231,44.95711305,E
8.44907922,44.75104701,E
8.34271288,44.93757725,E
8.1583648,44.85873263,E
8.02661283,44.95150123,E
8.100056,45.10233231,E
8.28581546,44.87387745,E
8.27193131,44.59299081,F
8.34572398,44.70695062,E
8.3443271,44.85886821,E
8.06523095,44.83463979,E
8.24202367,44.61132016,F
8.10937091,44.81852007,E
8.29616262,44.75322439,E
7.97278064,44.95226938,E
8.27826008,44.96570842,E
8.25972366,44.55375446,E
8.33782926,44.66894067,E
8.11289201,44.9640894,E
8.0781248,44.99743108,E
8.07546861,44.88727476,E
8.18984201,45.02410808,E
8.00209647,45.11794499,E
8.33893337,44.79653568,E
7.96509857,44.89687406,E
8.22822517,44.63719563,E
8.05229051,44.99926995,E
8.35869057,44.98045098,E
8.23189059,44.83510515,E
8.03221225,44.91367137,E
7.93722176,44.94188973,E
8.13525532,45.00518407,E
8.31730154,44.80740659,E
8.46975213,44.67660776,E
9.06842676,44.70091651,E
8.61540116,44.91297351,E
8.20845976,45.04723245,E
8.45120062,44.72578802,E
8.77257309,44.99538211,E
8.3757125,44.9928995,E
8.88128698,45.01755597,E
8.88574473,44.68673968,E
8.96523824,44.80296911,E
8.40254698,45.18319612,E
8.70593403,44.76829415,E
8.73594306,45.00321277,E
8.66160356,44.62436936,E
8.45521038,44.82710536,E
8.95059588,44.87645689,E
8.36858665,44.66179377,E
8.94535017,44.73105311,E
8.53942061,44.83649029,E
8.52362138,45.0890903,E
8.67599099,44.82209118,E
8.79191248,44.64778929,E
8.60487718,45.067876,E
9.04079602,44.81195142,E
9.0962927,44.67308273,E
8.43033685,45.01784708,E
8.28704469,45.16220888,E
9.04435913,44.71897373,E
8.68893776,44.72996604,E
8.87077531,44.84976758,E
8.47046969,44.82887672,E
8.90000819,44.80675404,E
8.60631572,44.6772555,E
9.17561244,44.61907401,F
8.83233109,44.65940501,E
8.41852913,44.59120157,E
8.62242452,44.8357048,E
8.7316846,44.63430041,E
8.45260603,45.13502772,E
8.98198552,44.91316314,E
9.00605114,44.82822593,E
8.86300797,44.76619504,E
8.525483,44.74821538,E
8.56047456,44.60684663,E
8.93045228,44.79884656,E
8.94673509,44.90626728,E
8.57711652,44.84547363,E
8.39441096,44.62508569,E
8.70225531,44.68556836,E
8.2405562,45.07520084,E
8.56624165,44.97986948,E
8.5462034,44.74368801,E
8.88163236,44.97942413,E
8.5824154,44.80447097,E
8.45241293,44.63096191,E
8.39068715,45.07480127,E
8.31694083,45.08601084,E
8.93197656,44.84186342,E
8.2152477,45.12019189,E
8.37204723,45.14690814,E
8.45605851,45.02054219,E
8.92901622,44.81820576,E
8.58583986,44.63749767,E
8.45548032,44.99071371,E
8.33401144,44.59866478,E
9.05007934,44.76760327,E
9.15418217,44.75482545,F
8.43580291,44.89804289,E
8.87795991,44.5921573,F
8.73165894,44.73589007,E
8.5326506,44.82711359,E
8.38660956,45.03150897,E
8.53610328,45.13401839,E
8.68484071,44.78273653,E
8.67906229,44.8389863,E
8.19315039,45.15893956,E
8.5430521,44.80892438,E
8.99903571,44.78094061,E
8.88625438,44.77567686,E
8.80360629,44.68829965,E
8.56785699,45.0606548,E
9.10473865,44.79704719,E
8.49150662,44.629935,E
8.96254082,44.69719799,E
8.84491063,45.01359818,E
8.85040859,45.03087376,E
8.71251661,44.63497457,E
8.48397707,45.00183653,E
8.41406649,44.55965891,E
8.40801092,44.8693944,E
8.42690281,44.64399212,E
8.29752453,44.51779681,E
8.52345012,45.03574687,E
8.60108309,44.62062138,E
8.89203048,45.02354187,E
8.25088371,45.13302907,E
9.03447924,44.83864164,E
8.15840028,45.15485139,E
9.06126316,44.63855849,E
8.9843698,44.88507491,E
9.10687493,44.76675329,E
8.7306833,44.66653728,E
8.58900574,44.68345546,E
8.68660651,44.94895015,E
8.37967335,44.59498476,E
8.95408341,44.83779799,E
8.99313137,44.84848618,E
8.36562081,45.16403878,E
8.51001025,44.60347745,E
8.75619133,44.63908249,E
8.54909592,44.66456561,E
8.137466,45.08344752,E
8.78709895,44.76018447,E
8.50665552,45.06017802,E
8.16672164,45.10952242,E
8.20951508,45.07192832,E
8.36696226,45.03769495,E
8.56243644,44.69008849,E
8.33914672,45.05183484,E
8.64638692,44.63746785,E
8.48672464,44.85980406,E
8.37622616,45.10189355,E
8.89000207,44.82072604,E
8.38286675,44.51574319,E
8.758618,44.67082366,E
8.74903841,44.75067788,E
8.6704681,44.98971739,E
8.6705542,44.94414223,E
8.7349996,44.95967234,E
8.59519185,45.06391823,E
8.93593783,44.95884144,E
8.33254095,45.14364169,E
8.36523345,44.62741706,E
8.26621831,45.0844605,E
8.45960731,44.58640594,F
9.02931411,44.87745949,E
8.78154639,44.79386971,E
8.55285026,44.64241408,E
8.65923977,44.75272978,E
8.48770761,44.94484127,E
8.40598711,44.89920749,E
8.46963348,44.73208972,E
8.55025847,44.71137561,E
